Hour,DayOfWeek,Month,DayOfYear,Average_Temperature_C,netload
5,2,9,246,25.7,499.84319081562165
6,2,9,246,26.2,489.4512441824912
7,2,9,246,28.6,453.702988322757
8,2,9,246,29.6,437.8114745905082
9,2,9,246,30.9,209.76060768484106
10,2,9,246,31.1,128.47054873651166
11,2,9,246,31.6,54.24834935919846
12,2,9,246,32.3,44.11325360306702
13,2,9,246,31.8,37.354451927271
14,2,9,246,31.9,36.3762456857229
15,2,9,246,30.9,35.94107183225703
16,2,9,246,29.4,35.99732834226177
17,2,9,246,28.8,35.43245994130102
18,2,9,246,27.9,22.455798007986857
19,2,9,246,27.2,17.897663243104596
20,2,9,246,27.1,15.20118722630958
21,2,9,246,27.0,19.526105693940753
22,2,9,246,26.8,52.95358313637067
23,2,9,246,26.7,127.62776207460041
0,3,9,247,26.6,413.8181736059207
1,3,9,247,26.7,462.41284826458343
2,3,9,247,26.6,469.2524211000622
3,3,9,247,26.3,467.7833713850534
4,3,9,247,26.0,163.39595627265393
5,3,9,247,26.1,506.30892511571255
6,3,9,247,26.1,466.5456694867685
7,3,9,247,27.0,467.8192415324871
8,3,9,247,28.3,463.7377509164558
9,3,9,247,29.6,218.989869757108
10,3,9,247,30.3,130.81893473294303
11,3,9,247,31.1,48.78641584672077
12,3,9,247,29.9,40.85113754305676
13,3,9,247,29.0,34.44972387568574
14,3,9,247,27.0,33.97693627778359
15,3,9,247,26.7,34.08239907711106
16,3,9,247,27.1,33.534421715666994
17,3,9,247,26.9,30.02801818507236
18,3,9,247,26.9,17.29887926324233
19,3,9,247,26.7,14.923762480979596
20,3,9,247,26.4,14.653518035680792
21,3,9,247,26.3,17.3368777342888
22,3,9,247,25.7,47.44006735004464
23,3,9,247,25.4,116.73364942634511
0,4,9,248,25.0,404.62846546513697
1,4,9,248,24.8,485.2398889402643
2,4,9,248,24.8,464.5929580720871
3,4,9,248,24.9,479.2359530877681
4,4,9,248,25.2,147.904934160352
5,4,9,248,26.0,465.1364160760596
6,4,9,248,26.4,467.1601122606791
7,4,9,248,26.3,445.6637620864957
8,4,9,248,26.6,453.3400344191475
9,4,9,248,26.3,228.99290269949464
10,4,9,248,26.6,136.10803916713752
11,4,9,248,26.0,48.87198510616935
12,4,9,248,26.5,40.7442523159478
13,4,9,248,26.3,35.46092822473723
14,4,9,248,28.8,36.41834128639555
15,4,9,248,29.6,36.06595839828327
16,4,9,248,31.0,31.688167875472722
17,4,9,248,30.5,27.41328097917564
18,4,9,248,29.8,15.30306282731445
19,4,9,248,28.9,14.119767558664936
20,4,9,248,28.8,14.138301620142398
21,4,9,248,28.8,14.131638158068254
22,4,9,248,28.3,39.624591542088545
23,4,9,248,28.0,136.2289843637435
0,5,9,249,27.1,380.0239363697385
1,5,9,249,26.4,415.72861795830835
2,5,9,249,26.6,408.5238289436919
3,5,9,249,25.6,406.54684898501534
4,5,9,249,25.5,136.76032888269913
5,5,9,249,25.7,366.3383465666478
6,5,9,249,24.9,373.11881585954524
7,5,9,249,26.5,362.05019937189763
8,5,9,249,28.0,211.94618495645443
9,5,9,249,29.2,50.63795379195885
10,5,9,249,30.3,24.746694767829545
11,5,9,249,29.0,23.378506662245922
12,5,9,249,32.4,19.10444307482163
13,5,9,249,32.5,16.038019209905578
14,5,9,249,31.7,14.81821241488752
15,5,9,249,30.6,14.079571617315397
16,5,9,249,30.6,12.969393655160925
17,5,9,249,28.8,12.922481234560877
18,5,9,249,27.3,13.908144647418094
19,5,9,249,26.6,13.267365102657479
20,5,9,249,26.4,12.884917722394414
21,5,9,249,25.1,12.972827958552234
22,5,9,249,25.0,13.474169832011766
23,5,9,249,24.6,12.771827107938702
0,6,9,250,24.2,12.867636440652088
1,6,9,250,23.7,13.142878334293368
2,6,9,250,23.7,14.445771338522157
3,6,9,250,23.3,15.780223003495195
4,6,9,250,23.2,24.20412486428915
5,6,9,250,22.9,19.457204529662103
6,6,9,250,22.9,18.159637617917443
7,6,9,250,24.7,18.689074223672193
8,6,9,250,27.0,19.376549099780316
9,6,9,250,29.0,18.128681655516722
10,6,9,250,29.5,17.170509023267805
11,6,9,250,30.1,17.020251051332593
12,6,9,250,31.0,15.573226001079496
13,6,9,250,31.1,13.83423679752395
14,6,9,250,31.8,13.858045691397535
15,6,9,250,32.0,13.30779054440469
16,6,9,250,30.3,13.894755791892408
17,6,9,250,29.5,14.227772259271685
18,6,9,250,27.8,13.24382329162259
19,6,9,250,26.7,13.220984492298793
20,6,9,250,27.3,14.077155520177637
21,6,9,250,27.0,17.335170074017984
22,6,9,250,26.2,46.59531151136281
23,6,9,250,26.7,135.86945482610696
0,0,9,251,26.5,399.16456960989194
1,0,9,251,25.5,465.4003051859566
2,0,9,251,25.2,469.67960118227256
3,0,9,251,24.9,489.10013444968877
4,0,9,251,24.6,172.0949707141911
5,0,9,251,24.6,474.04282543439933
6,0,9,251,26.2,468.8382367857233
7,0,9,251,27.9,438.59086947947355
8,0,9,251,29.3,451.44026283185724
9,0,9,251,30.4,233.8165278173248
10,0,9,251,31.3,147.30764788012434
11,0,9,251,31.3,58.21064568730602
12,0,9,251,32.7,44.24384350522632
13,0,9,251,32.6,39.628632124930526
14,0,9,251,33.0,41.15207873929057
15,0,9,251,32.7,40.811393446514394
16,0,9,251,32.6,39.23842086706949
17,0,9,251,30.7,36.71178148741539
18,0,9,251,29.1,20.26214593661749
19,0,9,251,28.8,18.997910557910448
20,0,9,251,28.7,18.390214225245735
21,0,9,251,28.5,21.41444485800387
22,0,9,251,28.4,49.96437393410003
23,0,9,251,28.1,119.47477431852442
0,1,9,252,27.8,359.54783159019087
1,1,9,252,26.6,465.3562604852224
2,1,9,252,26.2,454.795212627219
3,1,9,252,26.1,463.9818667120058
4,1,9,252,25.6,169.6461072645939
5,1,9,252,24.9,473.88509171113066
6,1,9,252,25.2,462.92312884297627
7,1,9,252,27.1,464.86017092524
8,1,9,252,29.1,456.044742498374
9,1,9,252,30.7,204.74221395514235
10,1,9,252,31.7,121.91174753247516
11,1,9,252,32.7,52.18699102925158
12,1,9,252,33.3,40.11150725524647
13,1,9,252,33.1,33.91582474471066
14,1,9,252,33.8,32.00980855607347
15,1,9,252,32.4,33.50361284687722
16,1,9,252,31.4,33.75367223150732
17,1,9,252,30.5,33.273800788943205
18,1,9,252,29.2,17.542768259405694
19,1,9,252,28.3,17.955423321975506
20,1,9,252,28.0,20.29075319257651
21,1,9,252,27.9,18.270817738344153
22,1,9,252,27.8,48.08585258786582
23,1,9,252,27.1,117.51503495091563
0,2,9,253,27.5,364.9869286117702
1,2,9,253,27.5,465.15816417777825
2,2,9,253,27.5,466.03133660178935
3,2,9,253,27.2,457.56859932465164
4,2,9,253,26.5,165.5395439772423
5,2,9,253,26.5,483.93501973238284
6,2,9,253,26.6,481.6224635548975
7,2,9,253,28.3,437.2059804763222
8,2,9,253,30.3,448.0557554585858
9,2,9,253,31.3,204.9184847817955
10,2,9,253,30.7,119.04295416000353
11,2,9,253,31.6,43.892487316549435
12,2,9,253,31.7,36.79842971370481
13,2,9,253,31.8,31.554232274854172
14,2,9,253,31.6,36.150022994194714
15,2,9,253,30.6,35.688836478274474
16,2,9,253,30.5,35.664423518315495
17,2,9,253,29.4,32.07766560996099
18,2,9,253,28.6,15.844294726306215
19,2,9,253,28.4,16.065751334409576
20,2,9,253,28.3,17.488829641983436
