251.6,254.5,247,13.1,13.1,13.2,8.05,4.76,0.86,40,50,1,10,0
0,0,0,247.2,247.3,242.1,1.6,4.75,0.31,10,50,1,20,0
244.8,250.6,238.5,8.55,8.5,8.6,2.73,81530.34,0.48,15.1,50,1,10,0
241.2,242.5,237.6,8,8,8,1.64,4.72,0.32,10,50,1,100,0
258.4,255.35,245.2,22.4,22.3,22.5,16.125,4.74,0.96,99.95,50,0,69.95,0
249.9,259.3,244.4,22.1,22.1,22.3,15.8,4.7,0.96,100,50,0,70,0
255.2,259.9,241.5,21.7,21.6,21.8,15.44,4.73,0.96,100,50,0,70,0
249.8,252.5,241.2,21,20.9,21.1,14.67,4.75,0.95,100,50,0,70,0
251.8,253,244.2,19.9,19.8,20,13.83,4.77,0.94,100,50,0,70,0
250.15,252.35,243.75,18.9,18.85,19,13,4.765,0.94,100,50,0.5,85,5
247.2,249.5,238.4,21.5,21.5,21.7,12.12,9.47,0.79,100,99.9,0,100,0
242.0333333,244.6,237.0333333,21.16666667,21.1,21.3,11.43333333,9.513333333,0.77,100,99.96666667,0,100,0
162.4,164.0333333,155.8,94.23333333,94.76666667,92.33333333,10.37333333,6.953333333,0.833333333,100,73.36666667,0,100,0
244.4333333,247.1,237.2666667,14.9,14.9,15,9.153333333,5.06,0.876666667,100,53.33333333,0,100,0
241.6,247.35,241,13.15,13.05,13.15,8.435,3.815,0.91,100,40,0,100,0
161.3,162.2333333,158.3666667,10.36666667,10.23333333,10.46666667,7.173333333,1.283333333,0.98,100,13.33333333,0,100,0
244.8666667,247.1666667,241.3,13.8,13.46666667,13.86666667,9.936666667,0.033333333,1,100,0,0.333333333,100,0
246.7,253.25,242.45,19.4,19.3,19.5,14.17,1.92,1,100,20,0,70,0
248.9,255.5,244.6,18.6,18.5,18.7,13.65,1.92,1,100,20,0,70,0
245.3,254.2,241.6,18.2,18.1,18.3,12.73,3.77,0.96,100,40.1,1,100,60
244.45,251.15,242.65,19,19,19.15,12.51,82841.59,0.91,100,60,0.5,85,30
246.2,248.9,238.3,23.4,23.4,23.6,15.09,7.595,0.89,100,80.05,0.5,100,50
246.4,250,237.6,22.4,22.35,22.5,13.64,8.5,0.845,100,90.05,0,85,0
246.1333333,251.2666667,238.9666667,21.33333333,21.26666667,21.43333333,12.02333333,9.433333333,0.79,100,100,0,70,0
244.9,251.1333333,241.6,21.13333333,21.06666667,21.2,12.02,9.423333333,0.79,100,100,0,70,0
246.6666667,249.0666667,239.7333333,21.36666667,21.33333333,21.46666667,12.02,9.5,0.78,100,100,0,100,0
244.0666667,248.4333333,241.3333333,21.43333333,21.4,21.53333333,12.02333333,9.493333333,0.786666667,100,100,0,100,0
244.8,248,240.8,19.9,19.9,20.1,12.03,7.61,0.85,100,80,0,100,0
246.45,248.55,238.25,19.85,19.85,20.05,12.02,7.6,0.85,100,80,0,100,0
241.2,244.4,236,19.15,19.1,19.25,10.99,7.6,0.82,100,80,0.5,100,30
122.4,123.35,119.2,133.75,133.35,131,12.375,5.735,0.905,100,60,0,100,0
243.7666667,247.3333333,239.5333333,16.9,16.86666667,17,10.89333333,5.08,0.906666667,100,53.43333333,0,100,0
247.6,249.5,241.6,15.65,15.6,15.75,10.955,2.875,0.97,100,30,0,85,0
249.5666667,247.7333333,241.1666667,14.7,14.4,14.83333333,10.63666667,0.666666667,0.993333333,100,6.666666667,0,90,0
247.55,247.25,239.3,14.5,14.3,14.65,10.585,0.035,1,100,0.05,0.5,100,0.5
162.6666667,163.8,162.5666667,90.7,90.63333333,88.26666667,9.216666667,0.056666667,1,100,0.4,0,100,0
243.2,248.1,243.9,12.5,12.5,12.6,9.26,0.035,1,100,0.15,0,100,0
241.2666667,244.3,240.2666667,10.4,10.36666667,10.43333333,7.566666667,0.023333333,1,100,0.1,0,100,0
241.8,243.2,237.5333333,10.5,10.5,10.56666667,7.61,0.023333333,1,100,0.1,0,100,0
238.4,245.6,240,9.5,9.5,9.5,6.86,0.02,1,100,0.1,1,100,0
233.6,236,232.8,6.8,6.8,6.9,4.75,0.01,1,99.9,0.1,1,100,0
229.5,232.8,228,6.9,6.9,7,4.78,153618.72,1,99.9,0.1,1,100,0
224,235.3,232,5.1,5.1,5.2,3.56,0,1,99.9,0.1,1,100,0
227.4,230.4,228,3.6,3.6,3.7,2.51,0.01,1,99.9,0.1,1,100,0
223.6,229.6,228.8,2.8,2.8,2.9,1.97,0,1,100,0.1,1,100,0
0,0,0,224.2,232.6,228,2.26,0,1,100,0.1,1,100,0
223.4,230.9,227.2,2.6,2.6,2.7,1.86,0,1,100,0.1,1,100,0
222.4,231.5,221.3,1.9,1.9,1.9,1.27,0,1,99.9,0.1,1,100,0
224.8,228.5,223.2,1.9,1.9,1.9,1.24,0,1,99.9,0.1,1,100,0
0,0,0,224,229.6,222.4,0.58,0,1,99.9,0.1,1,100,0
1696.5,2108.1,1950.1,220.8,228,224,0.16,0,1,99.9,0.1,1,69.9,0
219.3,226.4,225.6,0.1,0.1,0.1,0.09,0,1,70,0.1,1,95,0
222.4,229.6,224.8,0,0,0,0.03,-0.01,0.93,95.1,0.1,1,100,0
224,229.6,224.6,0,0,0,0,0,0,95,0.1,1,100,0
224,229.6,224.6,0,0,0,0,0,0,95,0.1,1,100,0
224,229.6,224.6,0,0,0,0,0,0,95,0.1,1,100,0
224,229.6,224.6,0,0,0,0,0,0,95,0.1,1,100,0
228.8,235,232,0,0,0,0,0,0,99.9,0.1,1,100,0
228,235.2,232.8,0,0,0,0,0,0,100,0.1,1,100,0
222.6,232,230.2,0.3,0.3,0.3,0.21,-0.01,1,99.9,0.1,1,100,0
225.9,233.2,224,0.4,0.4,0.4,0.34,-0.01,1,99.9,0.1,1,100,0
220.8,228.8,220.8,0.9,0.9,0.9,0.65,0,1,100,0.1,1,100,0
221.6,228,222.4,1.5,1.4,1.4,1,-0.01,1,100,0.1,1,100,0
217.4,228.9,228.8,2.1,2.1,2.1,1.35,0,1,99.9,0.1,1,100,0
221.6,227.2,225.6,2.4,2.4,2.4,1.52,149948.53,1,100,0.1,1,100,0
220.1,229.6,227.2,3.2,3.1,3.2,2.1,0,1,100,0.1,1,100,0
225.6,233.6,231.2,3.3,3.3,3.4,2.31,0,1,100,0.1,1,100,0
223.2,230.4,224.5,3.7,3.7,3.7,2.52,0,1,99.9,0.1,1,100,0
228.8,235.2,233.6,4.6,4.6,4.7,3.22,0,1,100,0.1,1,100,0
235,234.5,232.7,6.2,6.2,6.3,4.33,0.01,1,99.9,0.1,1,100,0
236,238.4,231.2,6.6,6.6,6.6,4.6,0.01,1,99.9,0.1,1,100,0
234.4,237.2,233.6,6,6,6.1,4.21,0.01,1,100,0.1,1,100,0
238.4,248.4,233.7,10.4,10.4,10.5,7.56,0.02,1,100,0.1,1,100,0
238.5,243.2,233.7,8.6,8.6,8.7,6.18,0.02,1,100,0.1,1,100,0
244,246.6,236.6,11.1,11,11.1,8.12,0.03,1,100,0.1,1,100,0
248.8,252.8,241.2,15.9,15.9,16,11.88,0.04,1,99.9,0.1,1,69.9,0
243,241.5,237.6,10.6,10.5,10.6,7.63,0.02,1,69.9,0.1,1,79.9,0
1696.5,2108.1,1950.1,244,247.2,245,10.02,0.02,1,79.9,0.1,1,49.9,0
249.8,246.7,243.2,13.5,13.4,13.6,9.44,0.03,1,49.9,0.1,1,59.9,0
